CVC BRASIL	CVCB3	10.760.260/0001-19	3,55	31/01/2020
FERBASA	FESA4	15.141.799/0001-03	0,06	31/01/2020
FLEURY	FLRY3	60.840.055/0001-31	6,69	31/01/2020
HYPERA	HYPE3	02.932.074/0001-91	9,1	31/01/2020
BBSEGURIDADE	BBSE3	17.344.597/0001-94	38,15	28/02/2020
KLABIN S/A	KLBN11	89.637.490/0001-45	8,78	28/02/2020
BANRISUL	BRSR6	92.702.067/0001-96	10,49	31/03/2020
ITAUSA	ITSA4	61.532.644/0001-15	9,85	31/03/2020
IOCHP-MAXION	MYPK3	61.156.113/0001-75	19,92	31/03/2020
BBSEGURIDADE	BBSE3	17.344.597/0001-94	27,04	30/04/2020
ITAUSA	ITSA4	61.532.644/0001-15	0,48	30/04/2020
M.DIASBRANCO	MDIA3	07.206.816/0001-15	10,66	30/04/2020
GRENDENE	GRND3	89.850.341/0001-60	3,76	29/05/2020
JBS	JBSS3	02.916.265/0001-60	18,92	29/05/2020
METAL LEVE	LEVE3	60.476.884/0001-87	4,42	29/05/2020
SLC AGRICOLA	SLCE3	89.096.457/0001-55	19,69	29/05/2020
SANTOS BRP	STBP3	02.762.121/0001-04	1,74	29/05/2020
AES TIETE E	TIET11	04.128.563/0001-10	35,76	29/05/2020
WIZ S.A.	WIZS3	42.278.473/0001-03	73,56	29/05/2020
BANRISUL	BRSR6	92.702.067/0001-96	12,61	30/06/2020
CRISTAL	CRPG5	15.115.504/0001-24	4,87	30/06/2020
SER EDUCA	SEER3	04.986.320/0001-13	1,41	30/06/2020
HAPVIDA	HAPV3	05.197.443/0001-38	7,11	31/07/2020
ITAUSA	ITSA4	61.532.644/0001-15	0,8	31/07/2020
SCHULZ	SHUL4	84.693.183/0001-68	2,81	31/07/2020
BBSEGURIDADE	BBSE3	17.344.597/0001-94	17,5	31/08/2020
COPASA	CSMG3	17.281.106/0001-03	0,29	31/08/2020
ITAUSA	ITSA4	61.532.644/0001-15	0,8	31/08/2020
JHSF PART	JHSF3	08.294.224/0001-65	3,15	31/08/2020
METISA	MTSA4	86.375.425/0001-09	8,5	31/08/2020
SLC AGRICOLA	SLCE3	89.096.457/0001-55	19,68	31/08/2020
AES TIETE E	TIET11	04.128.563/0001-10	52,32	31/08/2020
BRASIL	BBAS3	00.000.000/0001-91	0,35	30/09/2020
FERBASA	FESA4	15.141.799/0001-03	1,55	30/09/2020
BIOTOSCANA	GBIO33	*****	1768	30/09/2020
HAPVIDA	HAPV3	05.197.443/0001-38	7,11	30/09/2020
AES TIETE E	TIET11	04.128.563/0001-10	53,27	30/09/2020
BIOTOSCANA	GBIO33	*****	1,7	30/10/2020
ITAUSA	ITSA4	61.532.644/0001-15	0,8	30/10/2020
JHSF PART	JHSF3	08.294.224/0001-65	4,76	30/10/2020
MRV	MRVE3	08.343.492/0001-20	3,4	30/10/2020
SCHULZ	SHUL4	84.693.183/0001-68	4,59	30/10/2020
BRASIL	BBAS3	00.000.000/0001-91	0,66	30/11/2020
BRADESPAR	BRAP4	03.847.461/0001-92	46,85	30/11/2020
COPASA	CSMG3	17.281.106/0001-03	0,42	30/11/2020
GRENDENE	GRND3	89.850.341/0001-60	0,71	30/11/2020
AES TIETE E	TIET11	04.128.563/0001-10	26,11	30/11/2020
TRAN PAULIST	TRPL4	02.998.611/0001-04	5,22	30/11/2020
WIZ S.A.	WIZS3	42.278.473/0001-03	73,56	30/11/2020
BRASIL	BBAS3	00.000.000/0001-91	0,4	30/12/2020
BANRISUL	BRSR6	92.702.067/0001-96	0,7	30/12/2020
BANRISUL	BRSR6	92.702.067/0001-96	9,6	30/12/2020
CEMIG	CMIG4	17.155.730/0001-64	54,88	30/12/2020
COPASA	CSMG3	17.281.106/0001-03	6,48	30/12/2020
FERBASA	FESA4	15.141.799/0001-03	3,4	30/12/2020
FLEURY	FLRY3	60.840.055/0001-31	43,69	30/12/2020
METISA	MTSA4	86.375.425/0001-09	1,52	30/12/2020
METISA	MTSA4	86.375.425/0001-09	15,19	30/12/2020
SER EDUCA	SEER3	04.986.320/0001-13	6,33	30/12/2020
SLC AGRICOLA	SLCE3	89.096.457/0001-55	8,41	30/12/2020
SMILES	SMLS3	05.730.375/0001-20	83,5	30/12/2020
